id_a,id_b,distance
1,2,1.8028
1,3,1.0451
1,4,1.0022
1,5,0
1,6,1
1,7,1.5754
1,8,1.0441
1,9,0.943
1,10,1.1577
1,11,1
1,12,1.5754
1,13,1.1665
1,14,1.0799
1,15,1.1665
1,16,1.4057
1,17,1.2578
1,18,0.8475
1,19,0.3253
1,20,1.1665
1,21,1.1665
1,22,1.8368
1,23,1.4749
1,24,1.5807
1,25,0.7682
1,26,1.0441
1,27,0.6315
1,28,1.1665
1,29,0.9363
1,30,1.5009
1,31,1.1224
1,32,1
1,33,1.0441
1,34,0.7494
1,35,0.7282
1,36,1.0441
1,37,1.5754
1,38,1.5754
1,39,0.7606
1,40,2.3153
1,41,1.0441
1,42,1.1665
1,43,1.1665
1,44,1.1665
1,45,1.4273
1,46,1.3808
1,47,1
1,48,1.4685
1,49,1.0441
1,50,2.0882
1,51,1.0008
1,52,1.0441
1,53,1.5754
1,54,1.5298
1,55,1.6206
1,56,0.8407
1,57,1.0441
1,58,1.611
1,59,0.9102
1,60,1
1,61,0.3253
1,62,1.5365
1,63,1.1665
1,64,1.1665
1,65,1.8028
1,66,1.1665
1,67,2.3153
1,68,0.9278
1,69,0.6006
1,70,1.3732
1,71,1.7708
1,72,1.5365
1,73,0.9122
2,3,1.1971
2,4,1.178
2,5,1.8028
2,6,1.118
2,7,0.7837
2,8,2.518
2,9,1.1972
2,10,0.7682
2,11,1.118
2,12,0.7837
2,13,1.2691
2,14,0.7306
2,15,1.2691
2,16,0.5862
2,17,0.9458
2,18,1.0107
2,19,1.8989
2,20,1.2691
2,21,1.2691
2,22,0.3074
2,23,0.548
2,24,0.7406
2,25,1.1577
2,26,1.1577
2,27,1.4079
2,28,1.2691
2,29,0.9138
2,30,1.0445
2,31,0.8284
2,32,1.118
2,33,1.1577
2,34,1.8036
2,35,1.7195
2,36,1.1577
2,37,0.7837
2,38,0.7452
2,39,1.5584
2,40,1.2691
2,41,1.1577
2,42,1.2691
2,43,1.2691
2,44,1.2691
2,45,0.5257
2,46,1.1482
2,47,1.118
2,48,1.046
2,49,1.1577
2,50,1.2691
2,51,1.1539
2,52,1.1577
2,53,0.7452
2,54,1.0441
2,55,0.7914
2,56,1.4806
2,57,1.1577
2,58,0.7893
2,59,1.874
2,60,1.118
2,61,1.7623
2,62,0.7815
2,63,1.2691
2,64,1.2691
2,65,0
2,66,1.2691
2,67,1.2691
2,68,1.9002
2,69,1.9002
2,70,0.5034
2,71,0.0588
2,72,0.7815
2,73,1.8771
3,4,0.301
3,5,1.0451
3,6,0.3037
3,7,1.1444
3,8,1.3824
3,9,0.3063
3,10,0.5455
3,11,0.3037
3,12,1.1444
3,13,0.3037
3,14,0.6512
3,15,0.3037
3,16,0.9866
3,17,1.2851
3,18,0.8704
3,19,1.0032
3,20,0.3037
3,21,0.3037
3,22,1.2004
3,23,1.0463
3,24,1.0898
3,25,0.7399
3,26,0.0455
3,27,0.4468
3,28,0.3037
3,29,0.4993
3,30,0.4728
3,31,0.4572
3,32,0.3037
3,33,0.0455
3,34,0.6563
3,35,1.1398
3,36,0.0455
3,37,1.1444
3,38,1.0893
3,39,0.6138
3,40,2.0674
3,41,0.0455
3,42,0.3037
3,43,0.3037
3,44,0.3037
3,45,0.9246
3,46,1.2968
3,47,0.3037
3,48,0.4399
3,49,0.0455
3,50,1.0451
3,51,0.3003
3,52,0.0455
3,53,1.0893
3,54,0.5021
3,55,1.2084
3,56,0.5117
3,57,0.0455
3,58,1.1949
3,59,0.7194
3,60,0.3037
3,61,1.0144
3,62,1.0877
3,63,0.3037
3,64,0.3037
3,65,1.1971
3,66,0.3037
3,67,2.0674
3,68,0.7395
3,69,1.0451
3,70,1.0313
3,71,1.1461
3,72,1.0877
3,73,0.7217
4,5,1.0022
4,6,0.0667
4,7,1.2757
4,8,1.4005
4,9,0.0593
4,10,0.6413
4,11,0.0667
4,12,1.2757
4,13,0.6043
4,14,0.599
4,15,0.6043
4,16,1.0516
4,17,1.2694
4,18,0.8348
4,19,1.0457
4,20,0.6043
4,21,0.6043
4,22,1.2563
4,23,1.1089
4,24,1.2259
4,25,0.8132
4,26,0.3076
4,27,0.5405
4,28,0.6043
4,29,0.4191
4,30,0.5622
4,31,0.5649
4,32,0.0667
4,33,0.3076
4,34,0.7095
4,35,1.2608
4,36,0.3076
4,37,1.2757
4,38,1.2255
4,39,0.806
4,40,2.1522
4,41,0.3076
4,42,0.6043
4,43,0.6043
4,44,0.6043
4,45,0.9922
4,46,1.415
4,47,0.0667
4,48,0.5348
4,49,0.3076
4,50,1.1684
4,51,0.0267
4,52,0.3076
4,53,1.2255
4,54,0.587
4,55,1.3345
4,56,0.7312
4,57,0.3076
4,58,1.3221
4,59,0.8779
4,60,0.0667
4,61,1.0616
4,62,1.2241
4,63,0.6043
4,64,0.6043
4,65,1.178
4,66,0.6043
4,67,2.1522
4,68,0.8936
4,69,1.1684
4,70,1.0078
4,71,1.1251
4,72,1.2241
4,73,0.8797
5,6,1
5,7,1.5754
5,8,1.0441
5,9,0.943
5,10,1.1577
5,11,1
5,12,1.5754
5,13,1.1665
5,14,1.0799
5,15,1.1665
5,16,1.4057
5,17,1.2578
5,18,0.8475
5,19,0.3253
5,20,1.1665
5,21,1.1665
5,22,1.8368
5,23,1.4749
5,24,1.5807
5,25,0.7682
5,26,1.0441
5,27,0.6315
5,28,1.1665
5,29,0.9363
5,30,1.5009
5,31,1.1224
5,32,1
5,33,1.0441
5,34,0.7494
5,35,0.7282
5,36,1.0441
5,37,1.5754
5,38,1.5754
5,39,0.7606
5,40,2.3153
5,41,1.0441
5,42,1.1665
5,43,1.1665
5,44,1.1665
5,45,1.4273
5,46,1.3808
5,47,1
5,48,1.4685
5,49,1.0441
5,50,2.0882
5,51,1.0008
5,52,1.0441
5,53,1.5754
5,54,1.5298
5,55,1.6206
5,56,0.8407
5,57,1.0441
5,58,1.611
5,59,0.9102
5,60,1
5,61,0.3253
5,62,1.5365
5,63,1.1665
5,64,1.1665
5,65,1.8028
5,66,1.1665
5,67,2.3153
5,68,0.9278
5,69,0.6006
5,70,1.3732
5,71,1.7708
5,72,1.5365
5,73,0.9122
6,7,1.2173
6,8,1.4457
6,9,0.0832
6,10,0.5832
6,11,0
6,12,1.2173
6,13,0.6006
6,14,0.5327
6,15,0.6006
6,16,0.9879
6,17,1.2071
6,18,0.7792
6,19,1.0516
6,20,0.6006
6,21,0.6006
6,22,1.197
6,23,1.0449
6,24,1.1684
6,25,0.7682
6,26,0.3003
6,27,0.5364
6,28,0.6006
6,29,0.356
6,30,0.5582
6,31,0.5096
6,32,0
6,33,0.3003
6,34,0.7494
6,35,1.237
6,36,0.3003
6,37,1.2173
6,38,1.168
6,39,0.8032
6,40,2.0882
6,41,0.3003
6,42,0.6006
6,43,0.6006
6,44,0.6006
6,45,0.9292
6,46,1.3593
6,47,0
6,48,0.5306
6,49,0.3003
6,50,1.1665
6,51,0.04
6,52,0.3003
6,53,1.168
6,54,0.5832
6,55,1.2753
6,56,0.7282
6,57,0.3003
6,58,1.263
6,59,0.9102
6,60,0
6,61,1.0516
6,62,1.1665
6,63,0.6006
6,64,0.6006
6,65,1.118
6,66,0.6006
6,67,2.0882
6,68,0.9278
6,69,1.1665
6,70,0.9412
6,71,1.0657
6,72,1.1665
6,73,0.9122
7,8,2.3084
7,9,1.2702
7,10,0.6344
7,11,1.2173
7,12,0
7,13,1.0588
7,14,0.8028
7,15,1.0588
7,16,0.3225
7,17,0.746
7,18,0.8565
7,19,1.5785
7,20,1.0588
7,21,1.0588
7,22,0.5582
7,23,0.3088
7,24,0.0889
7,25,0.8078
7,26,1.1006
7,27,1.1869
7,28,1.0588
7,29,0.9501
7,30,1.197
7,31,0.7133
7,32,1.2173
7,33,1.1006
7,34,1.6369
7,35,1.1911
7,36,1.1006
7,37,0
7,38,0.0832
7,39,1.1856
7,40,0.9412
7,41,1.1006
7,42,1.0588
7,43,1.0588
7,44,1.0588
7,45,0.3627
7,46,0.4752
7,47,1.2173
7,48,1.1844
7,49,1.1006
7,50,1.4564
7,51,1.2523
7,52,1.1006
7,53,0.0832
7,54,1.2088
7,55,0.0662
7,56,1.1361
7,57,1.1006
7,58,0.0523
7,59,1.6053
7,60,1.2173
7,61,1.4008
7,62,0.0588
7,63,1.0588
7,64,1.0588
7,65,0.7837
7,66,1.0588
7,67,0.9412
7,68,1.637
7,69,1.4564
7,70,0.612
7,71,0.7903
7,72,0.0588
7,73,1.6091
8,9,1.3645
8,10,1.8028
8,11,1.4457
8,12,2.3084
8,13,1.4457
8,14,1.8207
8,15,1.4457
8,16,2.1836
8,17,2.2186
8,18,1.7574
8,19,0.875
8,20,1.4457
8,21,1.4457
8,22,2.5301
8,23,2.255
8,24,2.2865
