context,id_a,id_b,title_a,title_b,key_a,key_b,grid_dist_3d,cosine_sim,harmonic_tier,edge_kind,edge_strength,is_thread
warm-up,1,8,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),DJs Gotta Dance More feat. Todd Terry (Extended),7A,10A,1,0.6921,,none,0,0
warm-up,1,11,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Equal Responsibility (Betoko Remix),7A,12A,1.0441,0.8438,,none,0,0
warm-up,1,15,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Feel The Game (Extended Remix),7A,1A,1,0.7746,,none,0,0
warm-up,1,20,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Hit The Ground  (Extended Mix),7A,6A,1,0.8281,adjacent,harmonic,0.7,1
warm-up,1,25,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),It's A Memory (Amtrac Remix),7A,2A,0.7071,0.6335,,none,0,0
warm-up,1,26,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),It's Not Enough feat. Janai (Original Mix),7A,4A,1,0.9278,,none,0,0
warm-up,1,28,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),7A,9A,1,0.9232,,none,0,0
warm-up,1,29,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Just a Bitter Love,7A,6A,0.9363,0.6749,adjacent,harmonic,0.7,1
warm-up,1,31,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Lost,7A,6A,1.0815,0.6335,adjacent,harmonic,0.7,1
warm-up,1,32,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Love Somebody Else Feat. Joi Cardwell (Original Mix),7A,12B,1,0.3957,,none,0,0
warm-up,1,33,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Love Song (Original Mix),7A,8A,1,0.8431,adjacent,harmonic,0.7,1
warm-up,1,34,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Lucky Shot (Original Mix),7A,7A,0.9122,0.6572,same,harmonic,1,1
warm-up,1,41,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Night Blooming Jasmine (Original Mix),7A,4A,1.0441,0.5431,,none,0,0
warm-up,1,60,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Teardrops (Don't Stop The Music) (Original Mix),7A,5B,1.0441,0.7571,,none,0,0
warm-up,1,66,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Walk The Line (Extended Mix),7A,9A,1,0.4936,,none,0,0
warm-up,1,68,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),We Are Child Of Love (The Mekanism Remix),7A,12A,0.7071,0.6773,,none,0,0
warm-up,1,72,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Where the Subtle Meets Infinity (Original Mix),7A,1A,1.4142,0.7246,,none,0,0
warm-up,8,11,DJs Gotta Dance More feat. Todd Terry (Extended),Equal Responsibility (Betoko Remix),10A,12A,1.4457,0.6854,,none,0,0
warm-up,8,15,DJs Gotta Dance More feat. Todd Terry (Extended),Feel The Game (Extended Remix),10A,1A,1.4142,0.7764,,none,0,0
warm-up,8,20,DJs Gotta Dance More feat. Todd Terry (Extended),Hit The Ground  (Extended Mix),10A,6A,1.4142,0.7975,,none,0,0
warm-up,8,25,DJs Gotta Dance More feat. Todd Terry (Extended),It's A Memory (Amtrac Remix),10A,2A,1.5811,0.7729,,none,0,0
warm-up,8,26,DJs Gotta Dance More feat. Todd Terry (Extended),It's Not Enough feat. Janai (Original Mix),10A,4A,1.4142,0.6374,,none,0,0
warm-up,8,28,DJs Gotta Dance More feat. Todd Terry (Extended),Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),10A,9A,1.4142,0.617,adjacent,harmonic,0.7,1
warm-up,8,29,DJs Gotta Dance More feat. Todd Terry (Extended),Just a Bitter Love,10A,6A,1.5948,0.8114,,none,0,0
warm-up,8,31,DJs Gotta Dance More feat. Todd Terry (Extended),Lost,10A,6A,1.7301,0.6328,,none,0,0
warm-up,8,32,DJs Gotta Dance More feat. Todd Terry (Extended),Love Somebody Else Feat. Joi Cardwell (Original Mix),10A,12B,1.4142,0.5272,,none,0,0
warm-up,8,33,DJs Gotta Dance More feat. Todd Terry (Extended),Love Song (Original Mix),10A,8A,1.4142,0.6864,,none,0,0
warm-up,8,34,DJs Gotta Dance More feat. Todd Terry (Extended),Lucky Shot (Original Mix),10A,7A,0.9439,0.6563,,none,0,0
warm-up,8,41,DJs Gotta Dance More feat. Todd Terry (Extended),Night Blooming Jasmine (Original Mix),10A,4A,1.4457,0.3551,,none,0,0
warm-up,8,60,DJs Gotta Dance More feat. Todd Terry (Extended),Teardrops (Don't Stop The Music) (Original Mix),10A,5B,1.4457,0.615,,none,0,0
warm-up,8,66,DJs Gotta Dance More feat. Todd Terry (Extended),Walk The Line (Extended Mix),10A,9A,1.4142,0.5497,adjacent,harmonic,0.7,1
warm-up,8,68,DJs Gotta Dance More feat. Todd Terry (Extended),We Are Child Of Love (The Mekanism Remix),10A,12A,0.7071,0.6789,,none,0,0
warm-up,8,72,DJs Gotta Dance More feat. Todd Terry (Extended),Where the Subtle Meets Infinity (Original Mix),10A,1A,2.2361,0.7263,,none,0,0
warm-up,11,15,Equal Responsibility (Betoko Remix),Feel The Game (Extended Remix),12A,1A,0.3003,0.9203,adjacent,harmonic,0.7,1
warm-up,11,20,Equal Responsibility (Betoko Remix),Hit The Ground  (Extended Mix),12A,6A,0.3003,0.8102,,none,0,0
warm-up,11,25,Equal Responsibility (Betoko Remix),It's A Memory (Amtrac Remix),12A,2A,0.7682,0.6273,,none,0,0
warm-up,11,26,Equal Responsibility (Betoko Remix),It's Not Enough feat. Janai (Original Mix),12A,4A,0.3003,0.9263,,none,0,0
warm-up,11,28,Equal Responsibility (Betoko Remix),Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),12A,9A,0.3003,0.9033,,none,0,0
warm-up,11,29,Equal Responsibility (Betoko Remix),Just a Bitter Love,12A,6A,0.4657,0.7917,,none,0,0
warm-up,11,31,Equal Responsibility (Betoko Remix),Lost,12A,6A,0.5096,0.7697,,none,0,0
warm-up,11,32,Equal Responsibility (Betoko Remix),Love Somebody Else Feat. Joi Cardwell (Original Mix),12A,12B,0.3003,0.3833,,none,0,0
warm-up,11,33,Equal Responsibility (Betoko Remix),Love Song (Original Mix),12A,8A,0.3003,0.9975,,none,0,0
warm-up,11,34,Equal Responsibility (Betoko Remix),Lucky Shot (Original Mix),12A,7A,0.7494,0.6542,,none,0,0
warm-up,11,41,Equal Responsibility (Betoko Remix),Night Blooming Jasmine (Original Mix),12A,4A,0,0.3661,,none,0,0
warm-up,11,60,Equal Responsibility (Betoko Remix),Teardrops (Don't Stop The Music) (Original Mix),12A,5B,0,0.8973,,none,0,0
warm-up,11,66,Equal Responsibility (Betoko Remix),Walk The Line (Extended Mix),12A,9A,0.3003,0.3165,,none,0,0
warm-up,11,68,Equal Responsibility (Betoko Remix),We Are Child Of Love (The Mekanism Remix),12A,12A,0.7682,0.6694,same,harmonic,1,1
warm-up,11,72,Equal Responsibility (Betoko Remix),Where the Subtle Meets Infinity (Original Mix),12A,1A,1.0441,0.7203,adjacent,harmonic,0.7,1
