context,id,artist,title,x_norm,y_norm,z_norm,x_role_0_3,y_crowd_0_2,z_fit_0_10,membership,dominant_context,mean_confidence,bpm,key,duration,genre
sunrise-reset,1,"DJ Tennis, Joseph Ashworth, LP Giobbi",All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),0.3333,0,0.8,1,0,8,core,afterglow,8.333,120.00,7A,06:08,Melodic House & Techno
sunrise-reset,5,"Shimza, Mikhaela Faye",Calling Out Your Name (Original Mix),0.3333,0,0.8,1,0,8,core,afterglow,8.167,123.00,1A,07:01,Afro House
sunrise-reset,6,Caribou,Can't Do Without You (Tale Of Us & Mano Le Tough Remix),0.3333,0.5,0.8,1,1,8,core,afterglow,8.6,128.00,8A,07:37,Electronica
sunrise-reset,7,"Monique Bingham, Black Coffee",Deep in the Bottom (of Africa),0.6863,0.5,0.9,2.0588,1,9,core,sunrise-reset,8.4,128.00,5A,06:33,Afro House
sunrise-reset,9,rusowsky & Ralphie Choo,Dolores,0.3137,0.4706,0.8,0.9412,0.9412,8,core,afterglow,8.667,122.00,10A,03:38,Pop
sunrise-reset,10,40 Thieves,Don’t Turn It Off feat. Qzen (Session Victim Extended Remix),0.5,0.5,0.8,1.5,1,8,core,afterglow,8,124.00,8A,06:47,
sunrise-reset,13,"Charlotte Cardin, RUSH AVENUE",Feel Good (feat. Charlotte Cardin) [Remix] (feat. Charlotte Cardin),0.3333,0.5,0.8,1,1,8,core,afterglow,7.6,120.00,11A,03:28,Afro House
sunrise-reset,14,Eli & Fur,Feel The Fire (Journeyman Remix),0.5098,0.4706,0.8,1.5294,0.9412,8,core,afterglow,8.667,120.00,7A,06:27,Deep House
sunrise-reset,17,Midland,Final Credits (Original Mix),0.7083,0.2813,0.8,2.125,0.5625,8,core,afterglow,8.125,133.00,4A,07:20,House
sunrise-reset,20,Texture,Hit The Ground  (Extended Mix),0.3333,0.5,0.9,1,1,9,core,sunrise-reset,8,122.00,6A,04:00,House
sunrise-reset,21,Dua Lipa,Houdini (Adam Port Mix),0.3333,0.5,0.9,1,1,9,core,sunrise-reset,8.5,119.00,6A,03:22,Dance / Pop
sunrise-reset,22,"Kaskade, deadmau5",I Remember (Original Mix),0.6863,0.7353,0.8,2.0588,1.4706,8,core,afterglow,8.429,128.00,10A,09:07,Dance / Pop
sunrise-reset,23,Quantic,I Won't Fade Away feat. Alice Russell (Original Mix),0.6667,0.5208,0.7,2,1.0417,7,edge,afterglow,8.286,125.00,9A,03:48,UK Garage / Bassline
sunrise-reset,24,Hana,Illusory (Extended Mix),0.6667,0.5333,0.8,2,1.0667,8,core,afterglow,7.667,132.00,1A,05:59,Melodic House & Techno
sunrise-reset,26,"Dusky, Janai",It's Not Enough feat. Janai (Original Mix),0.3333,0.5,0.8,1,1,8,core,afterglow,8.143,123.00,4A,06:49,Deep House
sunrise-reset,27,"Emanuele Esposito, Gianni Romano",It's Not Right (Original Mix),0.3333,0.2778,1,1,0.5556,10,core,sunrise-reset,9.2,123.00,5A,06:22,Afro House
sunrise-reset,28,"Bantwanas, Khonaye",Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),0.3333,0.5,0.9,1,1,9,core,sunrise-reset,8.143,120.00,9A,08:24,Organic House / Downtempo
sunrise-reset,35,FKJ,Lying Together,0.4706,0,1,1.4118,0,10,core,sunrise-reset,8.833,102.00,2A,04:28,
sunrise-reset,36,Chrome Sparks,Marijuana (Original Mix),0.3333,0.5,0.8,1,1,8,core,afterglow,8.75,87.00,1A,03:01,Electronica
sunrise-reset,37,Floyd Lavine,Masala (Pablo Fierro Remix),0.6863,0.5,0.9,2.0588,1,9,core,sunrise-reset,8.5,125.00,7A,06:58,Afro House
sunrise-reset,39,Solomun,Never Sleep Again (Keinemusik Remix),0.3333,0.2333,0.9,1,0.4667,9,core,sunrise-reset,8.167,120.00,6A,07:12,Melodic House & Techno
sunrise-reset,40,"Justice, Tame Impala",Neverender (Extended),1,0.5,0.9,3,1,9,core,sunrise-reset,8.6,119.00,11A,06:43,Indie Dance
sunrise-reset,41,Eli & Fur,Night Blooming Jasmine (Original Mix),0.3333,0.5,0.8,1,1,8,core,afterglow,8.4,120.00,4A,03:46,Deep House
sunrise-reset,42,Eli & Fur,Night Blooming Jasmine (Rodriguez Jr. Remix),0.3333,0.5,1,1,1,10,core,sunrise-reset,9.5,120.00,4A,06:10,Melodic House & Techno
sunrise-reset,45,Bicep,Opal (Four Tet Remix),0.625,0.5435,0.8,1.875,1.087,8,core,afterglow,8,127.00,8A,08:14,Deep House
sunrise-reset,46,"Stereoclip, DIM KELLY",Preach The World (Original Mix),0.7083,0.2647,1,2.125,0.5294,10,core,sunrise-reset,8.429,122.00,12A,05:17,Organic House / Downtempo
sunrise-reset,49,"Nina Carr, Effemar",Saturday Night (Extended),0.3333,0.5,0.8,1,1,8,core,afterglow,8.8,123.00,4A,05:10,Dance / Pop
sunrise-reset,50,"Bobbi Fallon, Animalic Drum",Sell My Heart (Kreative Nativez Remix),0.3333,1,0.9,1,2,9,core,sunrise-reset,8.75,123.00,11A,07:01,Afro House
sunrise-reset,51,Ash,Sing It Back (feat. Naila) (Original Mix),0.32,0.5,0.8,0.96,1,8,core,afterglow,8.375,120.00,12A,04:12,Electronica
sunrise-reset,52,Moloko,Sing It Back (Herbert's Tasteful Dub),0.3333,0.5,0.8,1,1,8,core,afterglow,8.75,123.42,2A,05:59,House
sunrise-reset,53,Kidnap,Skin (Rinzen Remix),0.6667,0.5294,0.9,2,1.0588,9,core,sunrise-reset,8.6,123.00,8A,07:30,Melodic House & Techno
sunrise-reset,54,"Maverick Sabre, Jorja Smith",Slow Down (James Cole Remix),0.3333,0.75,0.8,1,1.5,8,core,afterglow,8.333,126.00,9A,06:58,Deep House
sunrise-reset,56,Royksopp,Sordid Affair (Maceo Plex Mix),0.3333,0.2941,0.9,1,0.5882,9,core,sunrise-reset,8.667,123.00,3A,07:58,Tech House
sunrise-reset,58,Stereoclip,Sunset Drive (Extended Mix),0.7037,0.5,1,2.1111,1,10,core,sunrise-reset,9,125.00,5A,07:13,Melodic House & Techno
