id,artist,title,x_role,y_crowd,z_fit,bpm,key
1,"DJ Tennis, Joseph Ashworth, LP Giobbi",All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),1,0,10,120.00,7A
2,Andre Nickatina,Ayo for Yayo (feat. San Quinn),2,1.5,10,128.48,10A
3,Disclosure,Boiling (feat. Sinead Harnett),0.9545,1,9,128.00,11A
4,Sucre Sale,Bye Bye Les Fraises feat. Sashe (Heinrichs & Hirtenfellner Remix),0.9333,1,10,123.00,3A
5,"Shimza, Mikhaela Faye",Calling Out Your Name (Original Mix),1,0,10,123.00,1A
6,Caribou,Can't Do Without You (Tale Of Us & Mano Le Tough Remix),1,1,10,128.00,8A
7,"Monique Bingham, Black Coffee",Deep in the Bottom (of Africa),2.0588,1,8,128.00,5A
8,"Todd Terry, A-Trak",DJs Gotta Dance More feat. Todd Terry (Extended),0,0,9,120.00,10A
9,rusowsky & Ralphie Choo,Dolores,0.9412,0.9412,10,122.00,10A
10,40 Thieves,Don’t Turn It Off feat. Qzen (Session Victim Extended Remix),1.5,1,9,124.00,8A
11,Climbers,Equal Responsibility (Betoko Remix),1,1,10,120.00,12A
12,"Kaskade, deadmau5, Kx5",Escape feat. Hayla (Extended Mix),2.0588,1,8,126.00,8A
13,"Charlotte Cardin, RUSH AVENUE",Feel Good (feat. Charlotte Cardin) [Remix] (feat. Charlotte Cardin),1,1,8,120.00,11A
14,Eli & Fur,Feel The Fire (Journeyman Remix),1.5294,0.9412,10,120.00,7A
15,Stereoclip,Feel The Game (Extended Remix),1,1,8,125.00,1A
16,"Oliver Koletzki, Jake The Rapper",Fifty Ways To Love Your Liver (Original Mix),1.9412,1,9,105.00,8A
17,Midland,Final Credits (Original Mix),2.125,0.5625,10,133.00,4A
18,Daft Punk,Give Life Back to Music (Original Mix),1.64,0.5556,10,119.05,8A
19,Glass Animals,Gooey (Original Mix),0.875,0,9,91.50,10A
20,Texture,Hit The Ground  (Extended Mix),1,1,8,122.00,6A
21,Dua Lipa,Houdini (Adam Port Mix),1,1,8,119.00,6A
22,"Kaskade, deadmau5",I Remember (Original Mix),2.0588,1.4706,9,128.00,10A
